job_name,planKey
cn-scheduler,CNCOM-CNSCHED
cn-selectlist,CNCOM-SELECTLIST
cn-sidepanel,CNCOM-SIDEPANEL
cn-slider,CNCOM-CNSLID
cn-tabs,CNCOM-TABS
cn-toast,CNCOM-CNTOAS
cn-toggle-button,CNCOM-CNTOGBU
frontend-utils,CNCOM-FRON
validation_helpers,CNCOM-VALHELP
OPUS codec,CDDLL-OPUS
SILK,CDDLL-SILK
Siren.G.722.1,CDDLL-SIR722
ActiveIntelligenceEngine.Installer.Utils,CS-AC
ApplicationFramework.ExternalUserSources,CS-AEUS
ApplicationFramework.NDRWrapper,CS-NDRW
ApplicationFramework.Reporting,CS-AP
ApplicationPlugins.ComplianceReview,CS-CRP
ApplicationPlugins.ObserveRunnerConfiguration,CS-ORC
AudioHandler.AuthorizationPlugin,CS-AUD
AVA Reports,CS-AVA
AVAInstaller,CS-AI
Cascade Merging Test,CS-CMT
Communication Surveillance Installer,CS-CSI
Communication Surveillance Installer 2.6.0 and older,CS-CSINO
CommunicationWorkItemPublisher,CS-CWIP
ConfigurationService,CS-CON
Connectors,CS-CF
CS installer Tests extension for CS-7515,CS-CITEFC
cs-actone,CS-CSAC
CS-Deployment-Scripts,CS-CSDEP
CS-RCMPlugins,CS-CSRCMPLUG
CS.InteractionAPI,CS-CSIN
csinstallationprerequisites,CS-CSINP
CSM,CS-CSM
CSMonitoringReport,CS-CSMON
EmailFilterService,CS-EFS
Exchange Reconcilliation Kit,CS-ERK
IndependentObserve,CS-IOP
IOSP.REST,CS-HAD
MLaaS,CS-MLAAS
MLaaS-MSC,CS-MLAASMSC
Monitoring Client,CS-MC
NexidiaSearchgrid.Configurationplugin,CS-NCP
Nice-AIE Sync Git to SVN,CS-NSGTS
Nice.ActiveIntelligenceEngine,CS-NAIE
Nice.ActiveIntelligenceEngine.Core,CS-AIEC
Nice.ActOneWebServices.Client,CS-NAWSC
Nice.Application.Database,CS-NAD
Nice.ApplicationFramework,CS-APF
Nice.ApplicationFramework.Client,CS-APFC
Nice.ApplicationPlugins.ComplianceDashboard,CS-CYB
Nice.ApplicationPlugins.Explorer,CS-CSE
Nice.ApplicationPlugins.Reconstruction,CS-APPREC
Nice.AppPlugins.IndexingConfiguration,CS-NICINDEX
Nice.ComplianceReview,CS-NCR
Nice.Connector.Attivio,CS-NCA
Nice.Gateway.Ocelot,CS-NICO
Nice.Gateway.Ocelot.Configuration,CS-GOC
Nice.Gateway.Ocelot.Service,CS-NICOS
Nice.MediaSources.Files,CS-NMSF
Nice.MediaSources.NIM.MiniBus,CS-NMNM
Nice.MediaSources.Other,CS-NMO
Nice.NDR.Synchronization.Attivio,CS-NSNC
Nice.NTR.InteractionFeeder,CS-NNIF
Nice.NTRX.ChatFeeder,CS-NICX
Nice.NTRX.MetaDataFeeder,CS-MDFX
Nice.QueryLevelReporting,CS-QLR
Nice.Reporting.CommonDataProvider,CS-NIC
Nice.SmartIndex.IndexRetentionManager,CS-IRM
Nice.SpeechConverter-BRA-v1.8.0,CS-SC
Observe.REST,CS-OB
Reporting.NIM.DataProvider,CS-REPNIMDP
ReportingApi.Interface,CS-RAPI
ReportingApi.SSRS,CS-RAS
ReviewSelectionFilters.REST,CS-RSFR
S3Downloader,CS-S3DOW
Scenario Interaction Exporter,CS-MSNTR
Smart Index Installer,CS-SII
SmartIndex.REST.Observe,CS-SRO
SmartIndexInstaller.Linux,CS-SIIL
SpeechConverter.QueueingService,CS-SQS
Supervision.Reconcilliation,CS-SUP
TestRestAPITagging,CS-TES
Transcription.API,CS-TAPI
Transcription.API.Setup,CS-TAPIS
Transcription.Bootstrapper,CS-TRAN
TranscriptionAgent,CS-TP
TranscriptionAgent.Bootstrapper,CS-TAB
TranscriptionAgent.Interface,CS-TAI
UIControls.Confirmation,CS-UIC
UIControls.Dashboard,CS-UICDB
UIControls.Explorer,CS-UICE
UIControls.Html5Player,CS-PLAYER
UIControls.ManualInteractionsImport,CS-UICMII
Workflow,CS-WOR
XMLTOJSONUTILITY,CS-XMLTOJ
MediaSources.NTR.Configuration,CSMS-MSNC
MediaSources.NTR.Configuration.Interface,CSMS-MNCI
MediaSources.NTR.ExternalUserSource,CSMS-MNEUS
MediaSources.NTR.Plugin,CSMS-MED
MediaSources.NTR.Shared,CSMS-MNS
MediaSources.NTRX.Plugin,CSMS-MSPX
MediaSources.NTRX.Shared,CSMS-MNXS
CS2.5PL4-ApplicationFramework-Patch,CSP-CS25PL4AP
CS2.5PL4-Explore-Patch,CSP-EXPSRS
CS2.5PL4-Reconstruction-Patch,CSP-CS25PL4REC
CS2.5PL4-Reconstruction1.11.3-Patch,CSP-CS25PL4RECFIX3
CS2.5PL4-with-APF2.9.6-ApplicationFramework-Patch,CSP-CS25PL4WIT
CS2.5PL5-ComplianceReview-Patch,CSP-CS25PL5COM
CS2.6PL4-Explore-Patch,CSP-CS26PL4EXPP
HF CS2.6.10 APF AS,CSP-HFCS2610APFAS
HF CS2.6.2 APF AS,CSP-HFCS262APFAS
HF CS2.6.5 APF AS,CSP-HCA
HF CS2.6.8 APF AS,CSP-HFAPF
HF CS2.6.8 CR AS,CSP-HCC
HF CS2.6.9 APF AS,CSP-HCA1
HF CS3.0.1 APEXP,CSP-APE
HF CS3.0.1 APF,CSP-APF
HF CS3.0.1 APF AS,CSP-HF301APFAS
HF CS3.0.1 APL,CSP-HFAPL
HF CS3.0.1 CCP,CSP-CCP
HF CS3.0.1 FUS AS,CSP-HCF
HF CS3.0.1 MSO AS,CSP-HCM
HF CS3.0.1 REPS,CSP-REPS
HF CS3.0.1 REPS and CCP AS,CSP-HCRC
HF CS3.0.1 SIE SI-PN and SI-AN,CSP-HCSS
HF CS3.0.1 SIP and SIE SI-PN and SI-AN,CSP-HFSIPSIE
HF CS3.0.1 SIP PN-SI,CSP-HCSP
HF CS3.1.0 APF,CSP-HCA31
HF CS3.1.0 APF AS,CSP-HCAA31
HF CS4.1.0 APRS,CSP-HFCS410APRS
HF CS4.2.0 APRS,CSP-HFAPRS
HF CS4.2.0 AS,CSP-HFAS42
InstallerDownloader,CSTT-ID
Nice.SmartIndex.CopyDocuments,CSTT-NIC
TestDataGenerator,CSTT-TDG
ApplicationPlugins.UserManagement,FUS-COM
Compass Smart Index Installer,FUS-CSII
Compass Smart Index Project,FUS-CSIP
Compass.Api.Authentication,FUS-FUS
Compass.Api.Common,FUS-FAC
Compass.Api.Provisioning,FUS-FAP
Compass.Api.Setup,FUS-FASUP
Compass.AuditManagement.ApiPlugin,FUS-FAMA
Compass.DesKeyExchange,FUS-COMDKE
Compass.GetUsersAffectedByCOMPASSUpgradeTool,FUS-CMPUT
Compass.RecorderSso,FUS-COMSSO
Compass.Reporting.Configuration,FUS-COMRC
Compass.Reporting.RecordingCheck,FUS-COMRRCK
Compass.Setup.Customization,FUS-CSC
Compass.SetupWindows,FUS-SETUP
Compass.SystemManagement.ApiPlugin,FUS-FSMA
Compass.UserManagement.ApiPlugin,FUS-FUMA
CyberTech.AlarmingV2,FUS-AV2
CyberTech.MAX,FUS-CYB
CyberTech.TRAX,FUS-TRAX
DES,FUS-DES
Fusion.Api.Authentication,FUS-FAPIAH
Fusion.Api.Common,FUS-FAPIC
Fusion.Api.Provisioning,FUS-FAPIP
Fusion.Api.Setup,FUS-FAPIS
Fusion.AuditManagement.ApiPlugin,FUS-FAPIAU
Fusion.SystemManagement.ApiPlugin,FUS-FAPISM
Fusion.UserManagement.ApiPlugin,FUS-FAPIUM
Nice.COMPASS.Installer,FUS-NIC
Nice.COMPASS.Installer.Rollback.Automation,FUS-CRA
NICE.Fusion.Installer-Branch-v2.4,FUS-FIB240
Reporting.SchedulingPlugin,FUS-REPSP
SystemOverview.Alarming.Compass,FUS-ALRM
UserManagement.UI,FUS-CUU
Automation.Reconciliation,COM-AUT
Compass.Application,COM-COMREPAPP
Compass.Auditing,COM-COMA
Compass.Auditing.Interface,COM-COMAI
Compass.Common,COM-COMMON
Compass.Configuration,COM-COMCON
Compass.Elastic.ConfigurationManager,COM-KIBANADASHBOARD
Compass.Elastic.ReportWriter,COM-REPWRITER
Compass.ElasticRetentionManager,COM-COMERM
Compass.ElasticStack,COM-ELK
Compass.Reconciliation,COM-RECONCIS
Compass.RecorderConfiguration,COM-RECCONF
Compass.ReportData.Web,COM-RDW
Compass.ReportData.Web.Interface,COM-COMRDWI
Compass.Reporting (Compass.Reporting.Plugin.Installer),COM-COMREP
Compass.Reporting.EventDefinitions,COM-REPEVENT
Compass.Reporting.Interface,COM-CRI
Compass.Setup,COM-INST
Compass.SystemHealth,COM-COMSH
Compass.SystemHealth.Interface,COM-COMSHI
Compass.Topology,COM-COMT
Compass.Topology.Interface,COM-COMTI
Compass.UserAggregations,COM-USRAGG
FakeDataGenerator,COM-SIM
Kibana.ServiceWrapper.Setup,COM-KIBANA
Logstash.ServiceWrapper.Setup,COM-LOGSTASH
Nice.Reporting.EventLogging,COM-EL
SharedLibraries.Authorization,COM-SLA
CyberTech.ActiveIntegrationSetup.Alcatel,CON-CYBAL
CyberTech.RecorderApi.Demo,CON-RAPID
Ntrx.Configuration.Editor,CON-NTRXCON
Setup.AnnouncementService.Sip,CON-SASSIP
AttivioApi,COR-ATA
CoreLibraries,COR-CORLBR
CoreLibraries.Alarming,COR-ALARM
CoreLibraries.Alarming.Interface,COR-ALARMINT
CoreLibraries.AppFunction,COR-CORAPF
CoreLibraries.AspNetCore.Http.Tracing,COR-CORTR
CoreLibraries.Audio.Construction,COR-CORACS
CoreLibraries.Audio.Converter,COR-CORACV
CoreLibraries.Audio.Encryption,COR-CAE
CoreLibraries.Audio.NMF,COR-CANMF
CoreLibraries.Audio.Utils,COR-CORAUT
CoreLibraries.Certificates,COR-CORCTR
CoreLibraries.CsvFileParser,COR-CORCFP
CoreLibraries.DataAnnotations,COR-CORDAT
CoreLibraries.DocumentPersistor,COR-CORDPR
CoreLibraries.DocumentPersistor.Attivio,COR-DOCPAT
CoreLibraries.DocumentPersistor.RabbitMQ,COR-CORDPQ
CoreLibraries.DotNetCoreConfiguration,COR-CORDNCC
CoreLibraries.Encryption,COR-ENC
CoreLibraries.Enterprise,COR-CORETP
CoreLibraries.FeatureToggling,COR-CORFTG
CoreLibraries.Http.Tracing,COR-CHT
CoreLibraries.Interface,COR-CORITF
CoreLibraries.Licensing,COR-CORLIC
CoreLibraries.Licensing.Native,COR-CLN
CoreLibraries.Logging,COR-CORLOG
CoreLibraries.MEF,COR-CORMEF
CoreLibraries.Native,COR-CORNAT
CoreLibraries.Native.Database,COR-CORNDB
CoreLibraries.Nexidia.SearchGrid.Client,COR-CNC
CoreLibraries.RabbitMQ,COR-CORRMQ
CoreLibraries.RabbitMQ.Clients,COR-COR2
CoreLibraries.RabbitMQ.Clients 1.1,COR-CLRMQC
CoreLibraries.SQL,COR-CSQL
CoreLibraries.SQL.MySQL,COR-CSM
CoreLibraries.TestFramework,COR-CORTFW
CoreLibraries.Wcf,COR-CORWCF
CoreLibraries.Wix,COR-COR
ErrorCore.DotNet,COR-ERR
JetBrains.Annotations.Sources,COR-RESHARPER
NMF.API,COR-NMFAP
UI.Angular.Libs,COR-UIAN
AlpineBuildImage,COW-ABI
Azure.DevOps.Terraform,COW-AZDO
dotnetbaseimage,COW-DOT
dotnetbuildimage,COW-BUILD
GStreamerAlpineBuilder,COW-GSTREAM
monobaseimage,COW-MONO
NTR-X.ProvisioningAutomation,COW-NTRXCD
NTRX-Infra.Helmchart,COW-NTRXIN
ntrx-monitoring,COW-NTRXMON
NTRX.Helmchart,COW-NTRXHEL
RepositoryCleanup,COW-REP
CS.SystemOverview.Installer,CSSO-CSSYSI
CS.SystemOverview.Webservice,CSSO-CSSYS
CSI2RCM - Installation Package,CS2RCM-PAC
CCLCProtocol,CTI-CCLCPROT
CyberTech.Alarming,CYB-CYBALA
CyberTech.MySql56.Setup,CYB-MYSSET
CyberTech.RecorderDatabase,CYB-CYBRDB
CyberTechLibraries,CYB-CYBLIB
CdrDll.IPC.CDR,CAFD-CDRDLLIP
CyberTech.DecompressionDll,CAFD-CYBDLL
CyberTech.RecordingTone,CAFD-CYBRET
Firmware.RtcpStatistics,CAFD-FIRRTC
CdrProcessor,CCPAD-CDRPRO
CyberTech.Simulators.Cisco,CYBSIM-SIMCISCO
CyberTech.Simulators.EtradealTdmCdr,CYBSIM-ETDM
CyberTech.Simulators.Generic.SIP,CYBSIM-CYBSIM
CyberTech.Simulators.IPC.Unigy,CYBSIM-SIMIPCUNIGY
CyberTech.Simulators.IPTrade.VRC.App,CYBSIM-CYBVRC
Simulators.BT.ITS,CYBSIM-SIMBTITS
DaMessageBoard,DA-DAM
Deploy BOT Plan,DBP-DBP
first project,DT-FP
AlarmForwarder,ESS-AL
AudioFragmentHelper,ESS-AUDFH
BlueWave.Client,ESS-BWC
Bootstrapper.Generic,ESS-BOOT
Bootstrapper.Generic-Branch-v2.7.0,ESS-BSGBRA270
ComponentSetup.Channels,ESS-CHN
ComponentSetup.Common,ESS-COMM
ComponentSetup.CoreExtension,ESS-CWU
ControllerService.NG,ESS-CTRLS
CoreLibraries.Connectivity,ESS-NCC
CoreLibraries.DCMP,ESS-CORDCMP
CoreLibraries.RecorderDatabase,ESS-CORDB
CoreLibraries.Srtp,ESS-CORSRTP
CyberTech.Alarming.ErrorCoreProxy2,ESS-CAECP2
CyberTech.Licensing,ESS-CYBLIC
CyberTech.ParrotPci,ESS-CYB
CyberTech.Rtp,ESS-CYBRTP
CyberTech.SecureLicenseGenerator,ESS-SLG
Dbi-Client-Standalone,ESS-DBSOLO
dbi-server,ESS-DBISRV
Managed.Sip,ESS-NMSIP
MonitorTool,ESS-MON
Nice.FileRestoreTool,ESS-NICFRT
Nice.Migration.HistoricalUtcIngestion,ESS-HUTC
SatelliteController,ESS-SATCTRLR
SipAudioService,ESS-ASSIP
TranscodingService,ESS-TRS
CyberTech.Firmware.Dsc.Alcatel,FIRM-CYBAL
CyberTech.Firmware.Dsc.Analog,FIRM-ANA
CyberTech.Firmware.Dsc.Analog_MDC1200,FIRM-MDC
CyberTech.Firmware.Dsc.CTI_E1,FIRM-CTI
CyberTech.Firmware.Dsc.Definity,FIRM-DEF
CyberTech.Firmware.Dsc.ELU25,FIRM-ELU
CyberTech.Firmware.Dsc.Hicom,FIRM-HCOM
CyberTech.Firmware.Dsc.ISDN2,FIRM-ISDN
CyberTech.Firmware.Dsc.ISDN_E1,FIRM-CYBISDN
CyberTech.Firmware.Dsc.ISDN_T1,FIRM-IST1
CyberTech.Firmware.Dsc.Meridian,FIRM-MER
CyberTech.Firmware.Dsc.NEC,FIRM-NECV
CyberTech.Firmware.Dsc.NEC_Dchn,FIRM-NECD
CyberTech.Firmware.Dsc.PCM32,FIRM-PCM
CyberTech.Firmware.Dsc.PMR_E1,FIRM-PMR
CyberTech.Firmware.Dsc.Recovery,FIRM-REC
CyberTech.Firmware.Dsc.SS7_E1,FIRM-SS7
CyberTech.Firmware.Dsc.Tadicom,FIRM-TAD
CyberTech.Firmware.Dsc.Vox_E1,FIRM-VOXE
CyberTech.Firmware.Dsc.Vox_T1,FIRM-VOXT
CyberTech.Firmware.Ipc.Alliance,FIRM-CYBFIAL
CyberTech.Firmware.Sip.Generic,FIRM-CYBSIP
CyberTech.Firmware.Sip.Nec,FIRM-NEC
CyberTech.Firmware.Voip.Avaya,FIRM-CYBFRA
CyberTech.Firmware.Voip.Cisco.Gateway,FIRM-CYBVCG
CyberTech.Firmware.Voip.Cti,FIRM-CYBCTI
CyberTech.Firmware.Voip.Nortel,FIRM-NORTEL
Cybertech.Firmware.Voip.Vox,FIRM-CYB
Nice.Acme.ISR.IntegrationSetup,FIRM-INISR
Nice.HelperLibraries.SecureDelete,HEL-SECDEL
Nice.HelperProjects.Apache.Procrun,HEL-NHPAP
FirmwareSetup.Template,INTSET-FIRTEMP
IntegrationSetup.Etrali.Etradeal,INTSET-INEED
IntegrationSetup.RecordOnDemand.Sip,INTSET-RODSIP
IntegrationSetup.Siprec,INTSET-NIC
Nice.TruPhone.SIP.IntegrationSetup,INTSET-TPIS
IntegrationSetup.Cloud9.C9Trader,ISC9-ISC9
Atlassian Backup Tool,INT-ABT
BitBucket.GetInactiveUsers,INT-BGIU
BitBucket.InactiveBranchChecker,INT-BBIBC
Cisco.Axl.Client,INT-CAC
Docker.TestHelper,INT-DTH
Escrow.DependencyCollector,INT-ESCR
extentreports-dotnet-cli,INT-EX
JavaScript.TestRunner,INT-JTR
